File name,VROM start,VROM end,ROM start,ROM end,Size (VROM),Compressed?,VRAM start,VRAM end,Size (VRAM),bss,type,number
makerom,0,1060,0,0,1060,N,,,,,,
boot,1060,7430,1060,0,63D0,N,,,,,,
dmadata,7430,D390,7430,0,5F60,N,,,,,,
Audiobank,D390,29DE0,D390,0,1CA50,N,,,,,,
Audioseq,29DE0,79470,29DE0,0,4F690,N,,,,,,
Audiotable,79470,4D9F40,79470,0,460AD0,N,,,,,,
kanji,4D9F40,556240,4D9F40,0,7C300,N,,,,,,
link_animetion,557000,7BCC30,556240,0,265C30,N,,,,,object,
icon_item_static,7BD000,8458A0,7BBE70,0,888A0,N,,,,,,
icon_item_24_static,846000,851400,844710,0,B400,N,,,,,,
icon_item_field_static,852000,85D930,84FB10,856570,B930,Y,,,,,,
icon_item_dungeon_static,85E000,85FD80,856570,856B90,1D80,Y,,,,,,
icon_item_gameover_static,860000,863300,856B90,858290,3300,Y,,,,,,
icon_item_jpn_static,864000,871C80,858290,85D840,DC80,Y,,,,,,
icon_item_nes_static,872000,87FC80,85D840,863220,DC80,Y,,,,,,
item_name_static,880000,8BD800,863220,0,3D800,N,,,,,,
map_name_static,8BE000,8DF800,8A0A20,0,21800,N,,,,,,
do_action_static,8E0000,8E5700,8C2220,0,5700,N,,,,,,
message_static,8E6000,8EA180,8C7920,0,4180,N,,,,,,
jpn_message_data_static,8EB000,925350,8CBAA0,0,3A350,N,,,,,,
message_texture_static,926000,927200,905DF0,0,1200,N,,,,,,
nes_font_static,928000,92C580,906FF0,0,4580,N,,,,,,
nes_message_data_static,92D000,965130,90B570,0,38130,N,,,,,,
staff_message_data_static,966000,966F60,9436A0,0,F60,N,,,,,,
map_grand_static,967000,975350,944600,0,E350,N,,,,,,
map_i_static,976000,A64110,952950,0,EE110,N,,,,,,
map_48x85_static,A65000,A86DE0,A40A60,0,21DE0,N,,,,,,
code,A87000,B8AD30,A62840,AFD890,103D30,Y,,,,,,
n64dd,B8AD30,B9DA40,AFD890,B07590,12D10,Y,,,,,,
ovl_title,B9DA40,B9E400,B07590,B07D50,9C0,Y,80800000,808009C0,9C0,0,gamestate,2
ovl_select,B9E400,BA1160,B07D50,B098B0,2D60,Y,808009C0,80803720,2D60,0,gamestate,1
ovl_opening,BA1160,BA12C0,B098B0,B099E0,160,Y,80803720,80803880,160,0,gamestate,4
ovl_file_choose,BA12C0,BB11E0,B099E0,B12800,FF20,Y,80803880,808137C0,FF40,20,gamestate,5
ovl_kaleido_scope,BB11E0,BCDB70,B12800,B21850,1C990,Y,808137C0,808301C0,1CA00,70,kaleido,0
ovl_player_actor,BCDB70,BF40D0,B21850,B3AA60,26560,Y,808301C0,808567F0,26630,D0,kaleido,1
ovl_map_mark_data,BF40D0,BFAC30,B3AA60,B3AE10,6B60,Y,808567F0,8085D350,6B60,0,mapmarkdata,0
